,uuid,dob,sex,num_course_taken,current_career_path_id,time_spent_hrs,first_name,last_name,street,city,state,zip,email,career_path_name,hours_to_complete,job_category,avg_salary
0,1,1943-07-03,F,6,1,4.99,Annabelle,Avery,303 N Timber Key, Irondale, Wisconsin, 84736,annabelle_avery9376@woohoo.com,data scientist,20,HR,80000
1,2,1991-02-07,M,5,8,4.4,Micah,Rubio,767 Crescent Fair, Shoals, Indiana, 37439,rubio6772@hmail.com,android developer,27,HR,80000
2,3,1989-12-07,M,8,8,6.74,Hosea,Dale,P.O. Box 41269, St. Bonaventure, Virginia, 83637,hosea_dale8084@coldmail.com,android developer,27,HR,80000
3,4,1988-07-31,F,7,9,12.31,Mariann,Kirk,517 SE Wintergreen Isle, Lane, Arkansas, 82242,kirk4005@hmail.com,machine learning engineer,35,education,61000
4,5,1963-08-31,M,14,3,5.64,Lucio,Alexander,18 Cinder Cliff, Doyles borough, Rhode Island, 73737,alexander9810@hmail.com,data analyst,12,HR,80000
5,6,1989-10-15,F,10,3,10.12,Shavonda,Mcmahon,P.O. Box 81591, Tarpon Springs, Montana, 37057,shavonda5863@coldmail.com,data analyst,12,education,61000
6,7,1959-05-05,M,9,8,24.17,Terrell,Bleijenberg,P.O. Box 53471, Oskaloosa, Virginia, 85274,bleijenberg188@hmail.com,android developer,27,engineer,101000
7,8,1997-11-22,M,3,1,19.54,Stanford,Allan,255 Spring Avenue, Point Baker, Texas, 15796,stanford_allan8055@coldmail.com,data scientist,20,software developer,110000
8,9,1961-10-20,F,6,9,1.75,Tricia,Delacruz,997 Dewy Apple, Lake Lindsey, Washington, 78266,tricia_delacruz6622@woohoo.com,machine learning engineer,35,analytics,86000
9,10,1999-02-23,N,7,6,13.55,Regenia,van,220 Middle Ridge, Falcon Heights, New Mexico, 46971,regenia6908@inlook.com,frontend engineer,20,financial services,135000
10,11,1998-10-24,F,5,10,12.61,Shonda,Stephanin,818 Clear Street, Rockwood, Maine, 14372,shonda_stephanin4439@coldmail.com,ux/ui designer,15,HR,80000
11,12,1977-05-29,M,3,6,9.12,Marcus,Mcfarland,718 Embers Lane, Dale, South Carolina, 19186,mcfarland1396@woohoo.com,frontend engineer,20,HR,80000
12,13,1975-05-23,N,15,5,6.09,Edwardo,Boonzayer,147 SW Plain, Solana Beach, Kansas, 01794,edwardo8281@inlook.com,backend engineer,18,engineer,101000
13,14,1969-01-15,F,5,9,15.92,Robena,Padilla,P.O. Box 73926, McLemoresville, Maryland, 57372,robena_padilla1477@hmail.com,machine learning engineer,35,software developer,110000
14,15,1942-06-01,F,13,1,4.64,Tamala,Sears,868 Hazy Crossing, Bethania, Washington, 08205,tamala4408@woohoo.com,data scientist,20,HR,80000
15,16,1976-04-30,F,0,0,0.0,Norene,Dalton,130 Wishing Essex, Branch, Ohio, 13616,norene_dalton9509@hmail.com,undecided,20,education,61000
16,17,1965-08-10,F,5,4,12.08,Maris,Benskoop,P.O. Box 93831, South Mountain, Washington, 02481,maris5817@hmail.com,software engineering,25,financial services,135000
17,18,1978-12-09,F,13,9,34.44,Yolande,van,460 Dusty Kennedy Cove, McBaine, New Jersey, 41490,vanhees6330@woohoo.com,machine learning engineer,35,HR,80000
18,19,1973-09-29,M,14,8,22.84,Dominic,Werner,P.O. Box 70430, Laramie, Nevada, 56963,werner3867@coldmail.com,android developer,27,financial services,135000
19,20,1990-02-21,N,13,0,0.0,Sofia,van,634 Clear Barn Dell, Beaman, Georgia, 33288,vansteenbergen8482@inlook.com,undecided,20,HR,80000
20,21,1993-06-04,M,4,3,4.3,Toney,Villarreal,P.O. Box 22286, Leisure Village, South Carolina, 22326,villarreal2146@woohoo.com,data analyst,12,creative,66000
21,22,1963-02-02,M,8,6,2.86,Clayton,Lamb,601 Old Oak Village, Binger, Connecticut, 29228,lamb2933@woohoo.com,frontend engineer,20,engineer,101000
22,23,1973-06-11,F,9,5,7.02,Isabel,van,863 Seventh Boulevard, Marianna, Indiana, 01611,isabel9601@coldmail.com,backend engineer,18,education,61000
23,24,1954-12-05,F,2,1,9.86,Eartha,Weeks,192 Cedar Vale, Hersey village, Illinois, 68184,eartha_weeks7248@hmail.com,data scientist,20,HR,80000
24,25,1998-01-07,M,10,3,10.24,Eloy,Limmink,103 Sunny Rapid Parade, Marshfield, Delaware, 13122,eloy_limmink6109@coldmail.com,data analyst,12,software developer,110000
25,26,1970-06-08,M,0,5,1.92,Doug,Browning,P.O. Box 15845, Devine, Florida, 23097,doug7761@inlook.com,backend engineer,18,HR,80000
26,27,1953-10-31,M,0,10,3.73,Damon,Schrauwen,P.O. Box 84659, Maben, Georgia, 66137,damon9864@woohoo.com,ux/ui designer,15,creative,66000
27,28,1942-08-30,F,14,3,8.74,Lexie,Rowland,33 High Cider Skyway, Inglewood, Mississippi, 22019,rowland6740@hmail.com,data analyst,12,creative,66000
28,29,1946-02-12,M,12,5,12.98,Edgardo,Chavez,758 Green Butterfly Gateway, Crescentvillage, Maine, 81750,edgardo9341@woohoo.com,backend engineer,18,HR,80000
29,30,1950-11-05,F,9,9,21.45,Bettyann,Klarenbos,838 Horse Dam, Westmorland, Alabama, 31955,bettyann_klarenbos7887@coldmail.com,machine learning engineer,35,analytics,86000
30,31,1989-12-28,M,5,0,0.0,Christoper,Warner,556 Stony Highlands, Drain, Illinois, 01973,warner5906@coldmail.com,undecided,20,engineer,101000
